CODIGO,NOMBRES Y APELLIDOS,ESCUELA PROFESIONAL,PUNTAJE,ORDEN DE MÉRITO,RESULTADO
699815,,,,,ALCANZÓ VACANTE
710838,,,,,
779809,,,,,
751852,,,,,
736892,,,,,
692339,,,,,
720786,,,,,
740022,,,,,ALCANZÓ VACANTE
721940,,,,,
694346,,,,,
711679,,,,,
741743,,,Articulo N° 68 del Reglamento de Admision 2026-II,Articulo N° 68 del Reglamento de Admision 2026-II,ALCANZÓ VACANTE
794156,,,Articulo N° 68 del Reglamento de Admision 2026-II,Articulo N° 68 del Reglamento de Admision 2026-II,ALCANZÓ VACANTE
814429,,,Articulo N° 68 del Reglamento de Admision 2026-II,Articulo N° 68 del Reglamento de Admision 2026-II,ALCANZÓ VACANTE
811235,,,,,ALCANZÓ VACANTE
696031,,,,,
568574,,,,,
659953,,,,,ALCANZÓ VACANTE
562942,,,Articulo N° 68 del Reglamento de Admision 2026-II,Articulo N° 68 del Reglamento de Admision 2026-II,ALCANZÓ VACANTE
648914,,,,,
655962,,,,,ALCANZÓ VACANTE
649256,,,,,
649965,,,,,ALCANZÓ VACANTE
659314,,,,,
653913,,,,,ALCANZÓ VACANTE
578318,,,,,ALCANZÓ VACANTE
557902,,,,,
659549,,,,,ALCANZÓ VACANTE
825781,,,Articulo N° 68 del Reglamento de Admision 2026-II,Articulo N° 68 del Reglamento de Admision 2026-II,ALCANZÓ VACANTE
704954,,,Articulo N° 68 del Reglamento de Admision 2026-II,Articulo N° 68 del Reglamento de Admision 2026-II,ALCANZÓ VACANTE
818926,,,Articulo N° 68 del Reglamento de Admision 2026-II,Articulo N° 68 del Reglamento de Admision 2026-II,ALCANZÓ VACANTE
